pose_id,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0,0.984244,202.509796,96.705887
0,1,0.811975,204.470779,93.168777
0,2,0.981040,198.235977,93.111877
0,3,0.035883,205.393814,96.128143
0,4,0.986597,185.284836,95.445992
0,5,0.995781,211.009094,122.472809
0,6,0.996878,169.169220,126.915756
0,7,0.982168,221.032623,160.950714
0,8,0.995058,165.081024,166.257416
0,9,0.987957,223.008743,192.553879
0,10,0.992798,158.991959,202.317291
0,11,0.996705,205.725235,195.076324
0,12,0.993880,184.175842,196.925873
0,13,0.987593,206.407578,241.050262
0,14,0.981483,189.459564,241.463257
0,15,0.665217,198.069199,280.653076
0,16,0.784525,192.280823,281.739105
1,0,0.986067,257.687866,105.372917
1,1,0.990769,262.873596,101.161850
1,2,0.602533,256.194366,100.302162
1,3,0.989154,277.035065,104.334229
1,4,0.027669,255.827515,104.175476
1,5,0.997270,289.568634,126.823532
1,6,0.993027,256.616577,127.282448
1,7,0.988935,300.624634,153.686615
1,8,0.966631,246.102036,160.953522
1,9,0.982893,309.027649,180.906631
1,10,0.479790,233.159576,192.086456
1,11,0.996751,285.108673,188.107483
1,12,0.993499,259.843079,188.355377
1,13,0.986955,282.061554,232.293106
1,14,0.924003,274.759552,233.331985
1,15,0.686288,282.598267,275.307037
1,16,0.602724,284.196442,274.972748
