pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0.907377,0,0.993038,0.424633,0.275622
0,0.907377,1,0.853792,0.426064,0.259552
0,0.907377,2,0.993494,0.410594,0.261129
0,0.907377,3,0.0133592,0.424361,0.266112
0,0.907377,4,0.990225,0.381225,0.26288
0,0.907377,5,0.988726,0.441463,0.346093
0,0.907377,6,0.994719,0.349038,0.363123
0,0.907377,7,0.978733,0.464178,0.45991
0,0.907377,8,0.972534,0.336701,0.471512
0,0.907377,9,0.986083,0.466221,0.542751
0,0.907377,10,0.99231,0.327818,0.568111
0,0.907377,11,0.977134,0.437096,0.564395
0,0.907377,12,0.988218,0.383151,0.557866
0,0.907377,13,0.972238,0.434414,0.694191
0,0.907377,14,0.992991,0.394944,0.689778
0,0.907377,15,0.816466,0.411851,0.798313
0,0.907377,16,0.921343,0.397419,0.802908
1,0.771316,0,0.995011,0.537256,0.295888
1,0.771316,1,0.993221,0.546334,0.283817
1,0.771316,2,0.9359,0.532737,0.285349
1,0.771316,3,0.988341,0.571479,0.291545
1,0.771316,4,0.091413,0.530648,0.29835
1,0.771316,5,0.99311,0.604472,0.360904
1,0.771316,6,0.994708,0.5278,0.364531
1,0.771316,7,0.986936,0.62477,0.437396
1,0.771316,8,0.906707,0.500838,0.454964
1,0.771316,9,0.976707,0.64858,0.508141
1,0.771316,10,0.297877,0.509223,0.497258
1,0.771316,11,0.984254,0.594597,0.529079
1,0.771316,12,0.986675,0.548167,0.527124
1,0.771316,13,0.954567,0.580242,0.659792
1,0.771316,14,0.681763,0.565768,0.657991
1,0.771316,15,0.292322,0.587953,0.761312
1,0.771316,16,0.0528543,0.587627,0.759625
