pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0.900202,0,0.984306,0.421266,0.273897
0,0.900202,1,0.73587,0.425478,0.260922
0,0.900202,2,0.981635,0.414898,0.2623
0,0.900202,3,0.0714506,0.419868,0.265664
0,0.900202,4,0.975883,0.386798,0.264257
0,0.900202,5,0.993596,0.432433,0.340785
0,0.900202,6,0.996872,0.347659,0.362606
0,0.900202,7,0.980447,0.464719,0.46
0,0.900202,8,0.983376,0.336406,0.471594
0,0.900202,9,0.990494,0.465906,0.551132
0,0.900202,10,0.978258,0.333287,0.564982
0,0.900202,11,0.992634,0.431434,0.553924
0,0.900202,12,0.993786,0.383329,0.555714
0,0.900202,13,0.987206,0.426777,0.686505
0,0.900202,14,0.983488,0.394798,0.690462
0,0.900202,15,0.76562,0.413506,0.788301
0,0.900202,16,0.908515,0.398398,0.794276
1,0.861757,0,0.988852,0.533072,0.298717
1,0.861757,1,0.986564,0.541729,0.288028
1,0.861757,2,0.898677,0.532228,0.290497
1,0.861757,3,0.984874,0.567797,0.288594
1,0.861757,4,0.257161,0.534341,0.296517
1,0.861757,5,0.996409,0.600254,0.352374
1,0.861757,6,0.995528,0.529818,0.365686
1,0.861757,7,0.97887,0.624342,0.427314
1,0.861757,8,0.94447,0.503772,0.454001
1,0.861757,9,0.986297,0.643105,0.510258
1,0.861757,10,0.23906,0.471221,0.549434
1,0.861757,11,0.985125,0.591387,0.529136
1,0.861757,12,0.988235,0.545692,0.533218
1,0.861757,13,0.982511,0.582085,0.65588
1,0.861757,14,0.974074,0.562516,0.657498
1,0.861757,15,0.92063,0.593095,0.77848
1,0.861757,16,0.542536,0.590466,0.773879
